Unnamed: 0,Unnamed: 0.1,Instances,Entity1ID,Entity2ID,Entity Pair,LabelInput,Pairs,Reverse,detail,label_index,means,word_x,positionInSentence_x,wordsInSentence_x,wordLen_x,relativePosition_x,posTag01_x,posTag02_x,posTag03_x,posTag04_x,posTag05_x,posTag06_x,posTag07_x,posTag08_x,posTag09_x,posTag10_x,posTag11_x,posTag12_x,lastLetterInt_x,firstLetterInt_x,word_y,positionInSentence_y,wordsInSentence_y,wordLen_y,relativePosition_y,posTag01_y,posTag02_y,posTag03_y,posTag04_y,posTag05_y,posTag06_y,posTag07_y,posTag08_y,posTag09_y,posTag10_y,posTag11_y,posTag12_y,lastLetterInt_y,firstLetterInt_y
0,0,"['storage', 'media', 'and', 'networks', 'one', 'could', 'just', 'record', 'and', 'store', 'a', 'conversation']",H01-1001.2,H01-1001.3,"(H01-1001.2,H01-1001.3)",0,"['H01-1001.2', 'H01-1001.3']",none,none,-1,-0.0019914222413843327,storage media and networks,4.0,15.0,26.0,0.3333333333333333,9.0,11.0,2.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,115.0,conversation,12.0,15.0,12.0,0.8666666666666667,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,99.0
1,1,"['information', 'retrieval', 'techniques', 'use', 'a', 'histogram']",H01-1001.5,H01-1001.6,"(H01-1001.5,H01-1001.6)",0,"['H01-1001.5', 'H01-1001.6']",none,none,-1,-0.003106686054770625,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,histogram,4.0,28.0,9.0,0.17857142857142858,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,104.0
2,2,"['information', 'retrieval', 'techniques', 'use', 'a', 'of', 'keywords']",H01-1001.5,H01-1001.7,"(H01-1001.5,H01-1001.7)",1,"['H01-1001.5', 'H01-1001.7']",True,USAGE,1,-0.0032298642838442765,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0
3,3,"['information', 'retrieval', 'techniques', 'use', 'a', 'of', 'as', 'the', 'document', 'representation']",H01-1001.5,H01-1001.8,"(H01-1001.5,H01-1001.8)",0,"['H01-1001.5', 'H01-1001.8']",none,none,-1,-0.0033561393705386572,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,document representation,9.0,28.0,23.0,0.35714285714285715,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0
4,4,"['information', 'retrieval', 'techniques', 'use', 'a', 'of', 'as', 'the', 'but', 'oral', 'communication']",H01-1001.5,H01-1001.9,"(H01-1001.5,H01-1001.9)",0,"['H01-1001.5', 'H01-1001.9']",none,none,-1,-0.0027387202505081416,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0
5,5,"['information', 'retrieval', 'techniques', 'use', 'a', 'of', 'as', 'the', 'but', 'may', 'offer', 'additional', 'indices']",H01-1001.5,H01-1001.10,"(H01-1001.5,H01-1001.10)",0,"['H01-1001.5', 'H01-1001.10']",none,none,-1,-0.002709687603406669,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
6,6,"['histogram', 'of', 'keywords']",H01-1001.6,H01-1001.7,"(H01-1001.6,H01-1001.7)",0,"['H01-1001.6', 'H01-1001.7']",none,none,-1,-0.002208964427312216,histogram,4.0,28.0,9.0,0.17857142857142858,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,104.0,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0
7,7,"['histogram', 'of', 'as', 'the', 'document', 'representation']",H01-1001.6,H01-1001.8,"(H01-1001.6,H01-1001.8)",0,"['H01-1001.6', 'H01-1001.8']",none,none,-1,-0.00292919393508665,histogram,4.0,28.0,9.0,0.17857142857142858,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,104.0,document representation,9.0,28.0,23.0,0.35714285714285715,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0
8,8,"['histogram', 'of', 'as', 'the', 'but', 'oral', 'communication']",H01-1001.6,H01-1001.9,"(H01-1001.6,H01-1001.9)",0,"['H01-1001.6', 'H01-1001.9']",none,none,-1,-0.001929582736144464,histogram,4.0,28.0,9.0,0.17857142857142858,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,104.0,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0
9,9,"['histogram', 'of', 'as', 'the', 'but', 'may', 'offer', 'additional', 'indices']",H01-1001.6,H01-1001.10,"(H01-1001.6,H01-1001.10)",0,"['H01-1001.6', 'H01-1001.10']",none,none,-1,-0.002047498360276222,histogram,4.0,28.0,9.0,0.17857142857142858,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,104.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
10,10,"['keywords', 'as', 'the', 'document', 'representation']",H01-1001.7,H01-1001.8,"(H01-1001.7,H01-1001.8)",0,"['H01-1001.7', 'H01-1001.8']",none,none,-1,-0.003202820048187718,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0,document representation,9.0,28.0,23.0,0.35714285714285715,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0
11,11,"['keywords', 'as', 'the', 'but', 'oral', 'communication']",H01-1001.7,H01-1001.9,"(H01-1001.7,H01-1001.9)",0,"['H01-1001.7', 'H01-1001.9']",none,none,-1,-0.0020708486629508398,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0
12,12,"['keywords', 'as', 'the', 'but', 'may', 'offer', 'additional', 'indices']",H01-1001.7,H01-1001.10,"(H01-1001.7,H01-1001.10)",0,"['H01-1001.7', 'H01-1001.10']",none,none,-1,-0.0021691088698226023,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
13,13,"['document', 'representation', 'but', 'oral', 'communication']",H01-1001.8,H01-1001.9,"(H01-1001.8,H01-1001.9)",0,"['H01-1001.8', 'H01-1001.9']",none,none,-1,-0.0029556608520528308,document representation,9.0,28.0,23.0,0.35714285714285715,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0
14,14,"['document', 'representation', 'but', 'may', 'offer', 'additional', 'indices']",H01-1001.8,H01-1001.10,"(H01-1001.8,H01-1001.10)",0,"['H01-1001.8', 'H01-1001.10']",none,none,-1,-0.002866122391488817,document representation,9.0,28.0,23.0,0.35714285714285715,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
15,15,"['oral', 'communication', 'may', 'offer', 'additional', 'indices']",H01-1001.9,H01-1001.10,"(H01-1001.9,H01-1001.10)",1,"['H01-1001.9', 'H01-1001.10']",False,USAGE,1,-0.002153135417687773,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
16,16,"['database', 'and', 'detect', 'those', 'automatically', 'which', 'is', 'shown', 'on', 'a', 'large', 'database']",H01-1001.13,H01-1001.14,"(H01-1001.13,H01-1001.14)",0,"['H01-1001.13', 'H01-1001.14']",none,none,-1,-0.001796115916054528,database,20.0,34.0,8.0,0.6176470588235294,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0,database,31.0,34.0,8.0,0.9411764705882352,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0
17,17,"['database', 'and', 'detect', 'those', 'automatically', 'which', 'is', 'shown', 'on', 'a', 'large', 'of', 'TV', 'shows']",H01-1001.13,H01-1001.15,"(H01-1001.13,H01-1001.15)",0,"['H01-1001.13', 'H01-1001.15']",none,none,-1,-0.0018316629760795169,database,20.0,34.0,8.0,0.6176470588235294,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0,TV shows,33.0,34.0,8.0,1.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,84.0
18,18,"['database', 'of', 'TV', 'shows']",H01-1001.14,H01-1001.15,"(H01-1001.14,H01-1001.15)",1,"['H01-1001.14', 'H01-1001.15']",True,PART_WHOLE,3,-0.0009452017870816316,database,31.0,34.0,8.0,0.9411764705882352,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0,TV shows,33.0,34.0,8.0,1.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,84.0
19,19,"['Emotions', 'and', 'other', 'indices']",H01-1001.16,H01-1001.17,"(H01-1001.16,H01-1001.17)",0,"['H01-1001.16', 'H01-1001.17']",none,none,-1,-0.0022895860773885354,Emotions,0.0,19.0,8.0,0.05263157894736842,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,69.0,indices,3.0,19.0,7.0,0.21052631578947367,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
20,20,"['Emotions', 'and', 'other', 'such', 'as', 'the', 'dominance', 'distribution', 'of', 'speakers']",H01-1001.16,H01-1001.18,"(H01-1001.16,H01-1001.18)",0,"['H01-1001.16', 'H01-1001.18']",none,none,-1,-0.0023231391236186024,Emotions,0.0,19.0,8.0,0.05263157894736842,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,69.0,dominance distribution of speakers,7.0,19.0,34.0,0.42105263157894735,9.0,9.0,5.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
21,21,"['Emotions', 'and', 'other', 'such', 'as', 'the', 'might', 'be', 'available', 'on', 'the', 'surface']",H01-1001.16,H01-1001.19,"(H01-1001.16,H01-1001.19)",0,"['H01-1001.16', 'H01-1001.19']",none,none,-1,-0.0023754364625848947,Emotions,0.0,19.0,8.0,0.05263157894736842,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,69.0,surface,13.0,19.0,7.0,0.7368421052631579,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,115.0
22,22,"['indices', 'such', 'as', 'the', 'dominance', 'distribution', 'of', 'speakers']",H01-1001.17,H01-1001.18,"(H01-1001.17,H01-1001.18)",0,"['H01-1001.17', 'H01-1001.18']",none,none,-1,-0.002210400949550581,indices,3.0,19.0,7.0,0.21052631578947367,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,dominance distribution of speakers,7.0,19.0,34.0,0.42105263157894735,9.0,9.0,5.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
23,23,"['indices', 'such', 'as', 'the', 'might', 'be', 'available', 'on', 'the', 'surface']",H01-1001.17,H01-1001.19,"(H01-1001.17,H01-1001.19)",0,"['H01-1001.17', 'H01-1001.19']",none,none,-1,-0.002279992879383148,indices,3.0,19.0,7.0,0.21052631578947367,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,surface,13.0,19.0,7.0,0.7368421052631579,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,115.0
24,24,"['dominance', 'distribution', 'of', 'speakers', 'might', 'be', 'available', 'on', 'the', 'surface']",H01-1001.18,H01-1001.19,"(H01-1001.18,H01-1001.19)",0,"['H01-1001.18', 'H01-1001.19']",none,none,-1,-0.002672827693348381,dominance distribution of speakers,7.0,19.0,34.0,0.42105263157894735,9.0,9.0,5.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0,surface,13.0,19.0,7.0,0.7368421052631579,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,115.0
25,25,"['databases', 'used', 'some', 'results', 'about', 'the', 'effectiveness', 'of', 'these', 'indices']",H01-1001.20,H01-1001.21,"(H01-1001.20,H01-1001.21)",0,"['H01-1001.20', 'H01-1001.21']",none,none,-1,-0.0024867389378724273,databases,6.0,19.0,9.0,0.3684210526315789,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0,indices,15.0,19.0,7.0,0.8421052631578947,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
26,26,"['mixed-initiative', 'speech', 'dialogue', 'interactions', 'which', 'reach', 'beyond', 'current', 'capabilities', 'in', 'dialogue', 'systems']",H01-1017.1,H01-1017.2,"(H01-1017.1,H01-1017.2)",0,"['H01-1017.1', 'H01-1017.2']",none,none,-1,-0.002941543378740408,mixed-initiative speech dialogue interactions,7.0,33.0,45.0,0.2424242424242425,6.0,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,109.0,dialogue systems,14.0,33.0,16.0,0.4545454545454545,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
27,27,"['mixed-initiative', 'speech', 'dialogue', 'interactions', 'which', 'reach', 'beyond', 'current', 'capabilities', 'in', 'the', 'DARPA', 'Communicator', 'program']",H01-1017.1,H01-1017.3,"(H01-1017.1,H01-1017.3)",0,"['H01-1017.1', 'H01-1017.3']",none,none,-1,-0.003009819099289214,mixed-initiative speech dialogue interactions,7.0,33.0,45.0,0.2424242424242425,6.0,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,109.0,DARPA Communicator program,16.0,33.0,26.0,0.5151515151515151,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,68.0
28,28,"['mixed-initiative', 'speech', 'dialogue', 'interactions', 'which', 'reach', 'beyond', 'current', 'capabilities', 'in', 'the', '[1]', 'is', 'funding', 'the', 'development', 'of', 'a', 'distributed', 'message-passing', 'infrastructure']",H01-1017.1,H01-1017.4,"(H01-1017.1,H01-1017.4)",0,"['H01-1017.1', 'H01-1017.4']",none,none,-1,-0.0028935493843422963,mixed-initiative speech dialogue interactions,7.0,33.0,45.0,0.2424242424242425,6.0,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,109.0,distributed message-passing infrastructure,24.0,33.0,42.0,0.7575757575757576,18.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0
