Unnamed: 0,Unnamed: 0.1,Instances,Entity1ID,Entity2ID,Entity Pair,LabelInput,Pairs,Reverse,detail,label_index,means,word_x,positionInSentence_x,wordsInSentence_x,wordLen_x,relativePosition_x,posTag01_x,posTag02_x,posTag03_x,posTag04_x,posTag05_x,posTag06_x,posTag07_x,posTag08_x,posTag09_x,posTag10_x,posTag11_x,posTag12_x,lastLetterInt_x,firstLetterInt_x,word_y,positionInSentence_y,wordsInSentence_y,wordLen_y,relativePosition_y,posTag01_y,posTag02_y,posTag03_y,posTag04_y,posTag05_y,posTag06_y,posTag07_y,posTag08_y,posTag09_y,posTag10_y,posTag11_y,posTag12_y,lastLetterInt_y,firstLetterInt_y
1258,1258,"['empirical', 'test', 'of', 'an', 'increasingly', 'common', 'speculative', 'claim,', 'by', 'evaluating', 'a', 'representative', 'Chinese-to-English', 'SMT', 'model']",I05-2021.1,I05-2021.2,"(I05-2021.1,I05-2021.2)",0,"['I05-2021.1', 'I05-2021.2']",none,none,-1,-0.00282107721675526,empirical test,5.0,28.0,14.0,0.21428571428571427,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,101.0,Chinese-to-English SMT model,16.0,28.0,28.0,0.6071428571428571,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,108.0,67.0
1259,1259,"['empirical', 'test', 'of', 'an', 'increasingly', 'common', 'speculative', 'claim,', 'by', 'evaluating', 'a', 'representative', 'directly', 'on', 'word', 'sense', 'disambiguation', 'performance']",I05-2021.1,I05-2021.3,"(I05-2021.1,I05-2021.3)",0,"['I05-2021.1', 'I05-2021.3']",none,none,-1,-0.0024269339325081593,empirical test,5.0,28.0,14.0,0.21428571428571427,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,101.0,word sense disambiguation performance,19.0,28.0,37.0,0.7142857142857143,9.0,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,119.0
1260,1260,"['empirical', 'test', 'of', 'an', 'increasingly', 'common', 'speculative', 'claim,', 'by', 'evaluating', 'a', 'representative', 'directly', 'on', 'using', 'standard', 'WSD', 'evaluation', 'methodology']",I05-2021.1,I05-2021.4,"(I05-2021.1,I05-2021.4)",0,"['I05-2021.1', 'I05-2021.4']",none,none,-1,-0.002291075044975957,empirical test,5.0,28.0,14.0,0.21428571428571427,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,101.0,WSD evaluation methodology,22.0,28.0,26.0,0.8214285714285714,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,121.0,87.0
1261,1261,"['empirical', 'test', 'of', 'an', 'increasingly', 'common', 'speculative', 'claim,', 'by', 'evaluating', 'a', 'representative', 'directly', 'on', 'using', 'standard', 'and', 'datasets']",I05-2021.1,I05-2021.5,"(I05-2021.1,I05-2021.5)",0,"['I05-2021.1', 'I05-2021.5']",none,none,-1,-0.0019125334212654519,empirical test,5.0,28.0,14.0,0.21428571428571427,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,101.0,datasets,24.0,28.0,8.0,0.8928571428571429,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
1262,1262,"['empirical', 'test', 'of', 'an', 'increasingly', 'common', 'speculative', 'claim,', 'by', 'evaluating', 'a', 'representative', 'directly', 'on', 'using', 'standard', 'and', 'from', 'the', 'Senseval-3', 'Chinese', 'lexical', 'sample', 'task']",I05-2021.1,I05-2021.6,"(I05-2021.1,I05-2021.6)",0,"['I05-2021.1', 'I05-2021.6']",none,none,-1,-0.002322678501628509,empirical test,5.0,28.0,14.0,0.21428571428571427,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,101.0,Senseval-3 Chinese lexical sample task,27.0,28.0,38.0,1.0,9.0,6.0,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,107.0,83.0
1263,1263,"['Chinese-to-English', 'SMT', 'model', 'directly', 'on', 'word', 'sense', 'disambiguation', 'performance']",I05-2021.2,I05-2021.3,"(I05-2021.2,I05-2021.3)",0,"['I05-2021.2', 'I05-2021.3']",none,none,-1,-0.002935646457492181,Chinese-to-English SMT model,16.0,28.0,28.0,0.6071428571428571,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,108.0,67.0,word sense disambiguation performance,19.0,28.0,37.0,0.7142857142857143,9.0,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,119.0
1264,1264,"['Chinese-to-English', 'SMT', 'model', 'directly', 'on', 'using', 'standard', 'WSD', 'evaluation', 'methodology']",I05-2021.2,I05-2021.4,"(I05-2021.2,I05-2021.4)",0,"['I05-2021.2', 'I05-2021.4']",none,none,-1,-0.002645584253941553,Chinese-to-English SMT model,16.0,28.0,28.0,0.6071428571428571,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,108.0,67.0,WSD evaluation methodology,22.0,28.0,26.0,0.8214285714285714,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,121.0,87.0
1265,1265,"['Chinese-to-English', 'SMT', 'model', 'directly', 'on', 'using', 'standard', 'and', 'datasets']",I05-2021.2,I05-2021.5,"(I05-2021.2,I05-2021.5)",0,"['I05-2021.2', 'I05-2021.5']",none,none,-1,-0.0019931461157971877,Chinese-to-English SMT model,16.0,28.0,28.0,0.6071428571428571,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,108.0,67.0,datasets,24.0,28.0,8.0,0.8928571428571429,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
1266,1266,"['Chinese-to-English', 'SMT', 'model', 'directly', 'on', 'using', 'standard', 'and', 'from', 'the', 'Senseval-3', 'Chinese', 'lexical', 'sample', 'task']",I05-2021.2,I05-2021.6,"(I05-2021.2,I05-2021.6)",0,"['I05-2021.2', 'I05-2021.6']",none,none,-1,-0.002605240490869127,Chinese-to-English SMT model,16.0,28.0,28.0,0.6071428571428571,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,108.0,67.0,Senseval-3 Chinese lexical sample task,27.0,28.0,38.0,1.0,9.0,6.0,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,107.0,83.0
1267,1267,"['word', 'sense', 'disambiguation', 'performance', 'using', 'standard', 'WSD', 'evaluation', 'methodology']",I05-2021.3,I05-2021.4,"(I05-2021.3,I05-2021.4)",0,"['I05-2021.3', 'I05-2021.4']",none,none,-1,-0.0021294975103366928,word sense disambiguation performance,19.0,28.0,37.0,0.7142857142857143,9.0,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,119.0,WSD evaluation methodology,22.0,28.0,26.0,0.8214285714285714,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,121.0,87.0
